clean_text,sentiment,brand_target
check rt giving added value location based service need battle checkin fatigue google pnid sxsw,Neutral,Google
chilcott sxsw stand talking blogger staff late win competition best tweet mentioning tshirt,Neutral,
rt come party w google tonight sxsw link band food art ice cream nifty interactive map,Positive,Google
gowalla promise launch foursquare checkin groupon rewardstype service sxsw finger crossed link,Neutral,
haha rt sxsw news yahoocom loosing search traffic new site googlecom doubt last tho w weird name,Neutral,Google
holla rt google party best ever get butt sxsw,Positive,Google
love iphone case sxsw cannot get phone fail,Positive,iPhone
worship link sxsw,Neutral,
ipadto rt droid mac rt agnerd confession using laptop ipad blackberry follow sxsw,Neutral,Apple
launching sxsw rt denies social network called circle debut today despite report link,Neutral,Google
new post iphone app make easy connect social network people yoyou meet link sxsw,Positive,iPad or iPhone App
nice iphone app behaving today crash yesterday ridiculous sxsw,Positive,iPad or iPhone App
nice rt apple opening popup store ipad launch downtown austin sxsw link via,Neutral,Apple
nice rt hey apple fan get peek space slated popup sxsw apple store tomorrow link,Positive,Apple
one thing great get great earth face google company yoyou love sxsw sxwsi,Positive,Google
stay tune showcase hckers link sxsw,Neutral,
thank yoyou touchingstories preso sxsw deck link,Neutral,
thank yoyou awesome sxsw party link,Neutral,
thanks rt youre trying contact friend family japan created person finder link sxsw,Neutral,
thanks mention new speech ipad apps showcased sxsw conf link sxswh sxsh,Positive,iPad or iPhone App
thanks publishing news new medical apps sxswi conf blog link sxsw sxswh mhealth,Neutral,
sxsw provide iphone charger ive changed mind going next year,Negative,iPhone
wonder apple flashmob tcrnchfcsj sxsw ipadto,Neutral,Apple
wonder putting tip api sxsw suxsw,Neutral,
xmas rt shiny new apps new book popup ipad store sxsw christmas nerd,Positive,iPad
yai rt new ubersocial iphone app store includes uberguide sxsw sponsored cont link,Positive,iPhone
yes rt hey ive got another gem yoyou free sxsw link sxsw,Neutral,
fast fun future google presenting sxsw search local mobile,Positive,Google
gsdm google industry party tonight see link sxsw austin welivehere gsdm,Neutral,Google
new buzz google launch major new social network called circle possibly today link rt sxsw,Neutral,Google
headline ipad musthave gadget sxsw hmm could seen one coming link gadget,Positive,iPad
know dataviz translates satanic iphone im sayin sxsw,Negative,Apple
google launched checkins month ago check in ok check out future sxsw bizzy,Positive,Google
google launched checkins month ago check in ok check out future sxsw bizzy via,Neutral,Google
google yoyou tweet new think yoyou speak mark belinsky tweet panel sxsw,Positive,Google
attending left brain search google right brain search x bettersearch talking future search engine sxsw,Neutral,Google
hp open mobile park content incubator sxsw link apple construct popup store link,Neutral,Apple
kawasaki c lewis level reasoning apple continued existence evidence existence god bawling sxsw,Positive,Apple
kawasaki pagemaker saved apple oh day sxsw jwtatl enchantment,Neutral,Apple
kawasaki pagemaker saved apple oh day sxsw jwtatl enchantment via,Positive,Apple
spark android teamandroid award sxsw read link,Positive,Google
unboxing apple sxsw apple store sxsw link,Neutral,Apple
sxsw apple ipad great thought w japan apac region dealing w earthquake tsunami trauma sxswi,Positive,iPad
sxsw apple school marketing expert sxsw cnet blog link,Neutral,Apple
sxsw apple school marketing expert link,Positive,Apple
sxsw apple school marketing expert link,Neutral,Apple
temporary apple store def tent powerhouse gym sxsw link,Positive,Apple
temporary apple store th congress sxsw along happy hipster,Positive,Apple
apple win sxsw link opening temporary store downtown austin support ipadto launch good,Positive,Apple
ipad austin trending today fun sxsw yoyou nerdy nerd,Positive,iPad
headed austin sxsw check map newbie link enjoy,Neutral,
funny austin trending sxsw matter minute point least according twitter iphone,Neutral,Apple
christian ipad iphone devs want talk sxsw maybe wk together cool app,Positive,iPad or iPhone App
sxsw ux ipad uxdes remember ultimately aware audience app targeted towards unexpected experience good,Neutral,Apple
apple ipadto taken sxsw austin storm link excited part mobile,Positive,iPad
haz ipadto ifrom sxsw great link,Positive,iPad
stack ipadto waiting bought sxsw got mine hassle apple handled perfectly link,Positive,iPad
google mobile future elusive power link via eurorscg sxsw sxswi,Neutral,Google
notatsxsw sxsw link free download meet nearby pep,Neutral,
smallbiz need review play google placeswe got app thatlink seo sxsw,Positive,Google
smallbiz need review play google placeswe got app thatlink seo sxsw,Neutral,Google
samsung sony follow apple hp lead link austin atx sxsw,Neutral,Apple
samsung sony follow apple hp lead link austin atx sxsw via rg,Neutral,Apple
take sxsw rt major south korean director get make movie entirely iphone link,Positive,iPhone
beautiful sxsw apple store sxsw pic link,Positive,Apple
q sxsw sxswi prep amazing pre push locally focus location based google owns region billboard prtochat,Neutral,Google
sxsw account need follow apps download iphone,Neutral,Apple
headed sxsw want sharegather contact info link turn iphone business card broadcaster,Neutral,Apple
headed sxsw want sharegather contact info link turn iphone link,Neutral,Apple
btw sxsw apple store sold g model vzw att,Neutral,Apple
must sxsw app rt lovely review forbes sxsw ipad app holler gram link,Positive,iPad or iPhone App
temporary sxsw apple store apple sneaky usual link,Positive,Apple
anyone sxsw popup apple store austin gotta hopping place today,Neutral,Apple
sxsw beta testing interactive book ipad app moonbot studio louisiana cool app,Positive,iPad or iPhone App
apple sxsw day one seeing ton ipadto,Positive,iPad
fastball sxsw giving away two new ipadto wifi tog black apple cover tweet fo info sxswi attsxsw tonight bolt house,Neutral,Apple
anyone sxsw chance check popup apple store wondering worth trek convention center,Neutral,Apple
sxsw ipad store sold everything except gig wifi white yoyou manage get,Positive,iPad
sxsw ipad store sold everything except gig wifi white also known white jean configuration,Positive,iPad
offered sxsw ipad promo ninjafinder user fan sxsw suck sxsw,Positive,iPad
sxsw austin conference google search interactive music film,Neutral,Google
anyone sxsw know apple selling ipad,Neutral,Apple
anyone sxsw know apple store new shipment ipads yet,Neutral,Apple
marc ecko sxsw launch iphone app autodial political change link edreform edtech eduvc fightthepaddle,Neutral,Apple
poursite sxsw learning lifechanging impact ipad real people actual life bravo,Positive,iPad
sxsw lonelyplanet austin guide iphone free limited time link lp travel,Positive,Apple
free sxsw mp downloads time itunes link,Neutral,Apple
anyone sxsw heading aclyou event seen owt google circle,Neutral,Google
sxsw prompt memory go google map describe childhood walk,Neutral,Google
apple sxsw store still ipad short line,Positive,iPad
essential sxsw tool link,Neutral,
left sxsw tradeshow demo google theatre ok get see presenter using,Positive,Other Google product or service
following sxsw tweet google realtime four platform tweet deck listening panel realizing im spoken one today,Neutral,Google
anyone sxsw want ipad im line pick one someone willing pay grab,Neutral,Apple
anyone sxsw want make quick hundred dollar new ipadto ad hoc apple store get hundred plus cost,Positive,iPad
solving sxswinduced iphoneintoilet crisis apple store crisis,Neutral,Apple
monday sxsw barry diller new york time congress lunch w hotel party google party six dirty martini monday,Positive,Google
attending sxsw austin guide free download itunes link lp,Neutral,Apple
seriously sxsw yoyou testing mobile apps constant ipad crash causing lost schedule sync wp,Negative,iPad or iPhone App
ready sxsw iphone apps make ur blogging easier link sxsw sxswi,Positive,iPad or iPhone App
ipadto sxswa conflagration doofusness link,Negative,iPad
attention sxswers link rumored popup temporary apple store sxsw ipad launch need,Positive,Apple
went sxswi lousy ipad sxsw link,Positive,iPad
hey sxsw sxswi folk yoyou want learn security come bsidesaustin link,Neutral,
attending sxswi work iphone ipad game development looking hire austinbased io developer im man let talk sxsw,Neutral,Apple
winning picture android google sxsw link,Positive,Android
gsdm google rt best party hit tonight sxsw,Neutral,Google
gsdm google industry party sxsw great meet yoyou link,Neutral,Google
yoyou spent come sxsw youve already used ipad wait couple city block ipadto sxsw link,Negative,iPad
sxsw day marissa mayer google connect digital physical world mobile link,Neutral,Google
behind email give line iphone composed reply sxsw protip,Positive,iPhone
like pm night line around block popup apple store selling ipadtos sxsw,Positive,iPad
free song sxsw year alone link,Neutral,
million mobile user google map mobile sxsw,Neutral,Google
currently people line pop apple store sxsw,Neutral,Apple
ipad available sxsw gb wifionly model plus optional leather smart cover,Neutral,Apple
love entertain youplease dont grateful link edchat musedchat sxsw sxswi classical newtwitter,Neutral,
less hour announce detail ipad giveaway sxsw sxswi,Neutral,Apple
im ipad tos seen wild people say fast still pic terrible sxsw,Negative,iPad
ipad queue sxsw course,Neutral,Apple
ipad take sxsw video link,Positive,iPad
many ipad snapping away keynote slide sxsw,Positive,iPad
apple tom user credit card syncd itunes one click purchase winning sxsw,Neutral,Apple
tond cocktail texas snowflake google cnngrill sxsw,Neutral,Google
new post iphone apps well using south southwest interactive link sxsw sxswi,Positive,iPad or iPhone App
new post iphone apps well using south southwest interactive sxsw sxswi link,Neutral,Apple
sweet new google map demo going ballroom sxsw,Positive,Other Google product or service
million mile per day driving google map navigation sxsw,Positive,Other Google product or service
rt pm ipadto line apple store longer wider people one hour sxsw,Neutral,Apple
smart packing extra rt way sunny austin sxsw extra iphone stow case,Neutral,Apple
wonder sqwill attempt block gowalla crosscheckins way facebook blocked google contact connection sxsw lbswars,Neutral,Google
sxsw day apple store still lineand growing link,Positive,Apple
check step bulletproof ux strategy sxsw link sxsw rhjrux link,Neutral,
wandering th street girl stopped ceviche mojitos apple juice ice cream sxsw,Neutral,Apple
youre band sxsw want share track audience stage use frostwire android wifi available,Positive,Android App
weve got busy week ahead new book google apps available amazon attending sxsw,Neutral,Google
believe went aussie sxsw rt ipad sold went new buyer report link,Neutral,Apple
google spreadsheet party sxsw year oo link plan going sxsw party,Neutral,Google
guy line apple popup store sixth street austin im guy told sxsw,Neutral,Apple
iphone yoyou need caruse zimride etc share ride sxsw shareable,Positive,iPad or iPhone App
ive seen lot tablet every single one ipad sxsw,Neutral,Apple
receiving lot message telling im sexy response post looking meet fellow christian iphone devs sxsw,Neutral,Apple
picked mophie battery case iphone prep sxsw lugging around laptop using phone huge win last year,Positive,iPhone
thats news p rt google launch major new social network called circle possibly today link sxsw,Neutral,Google
took piss trade show ipad one hand iphone pissing kiiiiiilling right sxsw,Neutral,Apple
rumor monger good read google circle preview sxsw link via socbiz fb,Positive,Other Google product or service
hobo shotgun iphone game link sxsw,Neutral,Apple
hobo shotgun video game coming ipadiphone user yes please link sxsw,Positive,iPad or iPhone App
build store less hour one biggest launch company history got apple sxsw ipadto,Positive,Apple
took survey iphone starbucks line got free starbucks gift card instant research instant gratification sxsw gsdm,Neutral,Apple
apple temporary retail store austin ipad release today open pm sxsw sxswi ipadto,Neutral,Apple
read groupme sxswsounds like incredible app available android phone yet,Positive,iPad or iPhone App
wondering circle google reveal new social network sxsw link,Neutral,Google
google search local marissa mayer sxsw,Neutral,Google
wondering street closure sxsw made google map show link sxsw austin,Neutral,Google
google another go social google circle sxsw google,Neutral,Google
question inside ipad fire way sxsw,Neutral,Apple
paraormal activity sanctuary iphone game sketching ar experience interactivity magic lense eduar sxsw,Neutral,Apple
apple iie ad si swimsuit issue garage sale sxsw link,Neutral,Apple
flipboard add instagram photo social search apps link apple socialsearch sxsw,Neutral,Apple
spent aftrnoon frozen lake photographing brother scott team catch sxsw th weeknd link,Neutral,
iphone alarm botch timechange many sxswers freak late flight missed panel behind bloody mary,Negative,iPhone
shout lady holding ipad free sxsw show take photo sipping free beer cc,Positive,iPad
dj hoodie allen due respect yoyou probably make way back google sxsw,Neutral,Google
meant also wish sxsw dyac stupid iphone,Negative,iPhone
audioboo american dream bust link ipad sxsw bum begger u socialart documentally,Neutral,Apple
skifta appbased medium shifting service turn android phone sxsw mashable sxswi link,Neutral,Google
rumor apple store opening sxsw th congress sign point yes link,Positive,Apple
apple security guy lock store sxsw link,Neutral,Apple
apple security guy lock store sxsw realtime sxsw link curated,Neutral,Apple
got ipad sxsw link cc,Neutral,Apple
picked ipad sxsw pop apple store minute wait,Positive,iPad
brilliant enlightening game mechanic presentation google sxsw,Positive,Google
gsdm googlesitting tree link sxsw gsdm,Neutral,Google
pic yoyou winning ipad unsix sxsw cc link cont link,Neutral,Apple
iphone thirsty sxsw chevy volt lounge w others link,Neutral,Apple
iphone thirsty sxsw chevy volt lounge w others link link,Neutral,Apple
came left sxsw iphone playing song chosen random skream listening record wall appropriate,Neutral,Apple
marketing sale genius link apple sxsw,Positive,Apple
arduino android flaming skull link refrigerator speaks salon k pm sxsw smartthings,Neutral,Google
reminder android chrome tt talk pm today link sxsw,Neutral,Google
ipad v android v world panel sxsw today pm link,Neutral,Apple
backupify announces cloudsight search first searchable archive solution social medium google apps sxsw sxswi link,Neutral,Google
google announcing social network circle via sxsw tweet interesting myopia cause buzz joke interesting,Neutral,Google
need sxsw ipad iphone laptop dictaphone vidcamera wow love meet real cerebellum charged people,Positive,iPhone
see anything google circle sxsw,Neutral,Google
sxsw app iphone ridiculous personal planner next day,Positive,iPad or iPhone App
sxsw app android huge prop get link,Neutral,Google
found app kyping iphone geolocation releasing background need patch batterykiller sxsw,Negative,iPad or iPhone App
sxsw app iphone live rsvp event phone check sundayswaggereventbritecom scoremore,Positive,iPad or iPhone App
iphone app screen sxsw missing link,Neutral,Apple
love app awesome rt must see android app sxsw bizzy link,Positive,Android App
sxsw apple popup store nut still packed link,Neutral,Apple
say apple sxsw popup store austin link,Neutral,Apple
breaking apple announces partnership wporn industry new ipadto video chat app called ofacetime sxsw,Neutral,Apple
course apple built temp store austin texas understand concept corralling cattle sxsw pickmeupanipadto,Negative,Apple
love apple let something like retail store near sxsw keep away opening popup store link,Positive,Apple
surprise apple opened popup store austin nerd town sxsw get new link cnet,Positive,Apple
surprise apple opened popup store austin nerd town sxsw get new ipads link cnet,Positive,iPad
surprise apple opened popup store austin nerd town sxsw get new ipads link,Neutral,Apple
surprise apple opened popup store austin nerd town sxsw get new ipads link,Positive,Apple
technews apple head sxsw set temporary store austin link technews apple ipadto rancewilemon sxsw tech,Neutral,Apple
apple great example retail store layed future register checkout line sxsw,Positive,Apple
apple opening temporary store downtown austin sxsw ipad launch link gswsxsw,Positive,Apple
apple opening temporary store downtown austin sxsw ipad launch oh yay traffic,Negative,Apple
technews apple opening popup store austin sxsw link technews americanstatesman apple appleapple sxsw tech,Neutral,Apple
technews apple opening popup store austin sxsw geekfest apple link technews apple brianlam ipadto sxsw tech,Neutral,Apple
sxsw apple popup store open noon fresh shipment ipad im pretty sure im going get one finger crossed,Positive,iPad
technews apple save sxsw set open popup store link technews apple sxsw tech,Positive,Apple
sxsw apple school marketing expert link,Neutral,Apple
sxsw apple school marketing expert link,Positive,Apple
sxsw apple school marketing expert link via,Positive,Apple
sxsw apple school marketing expert link via true love loathe one marketing like,Positive,Apple
sxsw apple school marketing expert cnet link,Positive,Apple
sxsw apple school marketing expert cnet blog link austin atx retail,Positive,Apple
apple store downtown austin open til midnight sxsw still time,Positive,Apple
apple store downtown austin open til midnight sxsw ipadto left stock,Neutral,Apple
apple store congress link sxsw austin,Neutral,Apple
apple store mall sunday x crowded line fake need fucking dongle genius let sxsw,Negative,Apple
towks apple store th austin street opened sxsw,Neutral,Apple
special apple store opening th congress sxsw ipad launch apple ipadto sxsw fb,Neutral,Apple
makeshift apple store th congress youre kidding amazing sxsw apple,Positive,Apple
temporary apple store sxsw huge line link,Neutral,Apple
temporary apple store sxsw really coolas ipad apple sxsw fanboy,Positive,iPad
temporary apple store set sxsw shit temptation going control,Positive,Apple
temporary apple store sxsw line go around block link,Neutral,Apple
temporary apple store open th congress tomorrow ipadto sxsw,Neutral,Apple
temporary apple store open pm th congress line already growing ipad viewio link via sxsw,Positive,Apple
temporary apple store block office cannot wait see line tomorrow photo come sxsw ipadto,Positive,Apple
sxsw apple store open noon day close run ipadtos buy stock year ago,Neutral,Apple
base camp apple sxsw link,Neutral,Apple
ipad news apps iso last year sxsw link,Negative,iPad or iPhone App
iphone apps youll probably need use sxsw link,Positive,iPad or iPhone App
million mobile google map user sxsw,Positive,Other Google product or service
line already forming apple popup store austin people see festival link sxsw,Neutral,Apple
android rt new mobile apps ill using atsxsw link,Positive,Android App
sxsw yoyou attending sxsw report yoyou see android phone get bannka app,Neutral,Google
ipad apps like software development yoyou release yoyou start working update sxsw,Positive,iPad or iPhone App
tweet stalled data sluggish come att verizon embarrassing iphone customer switched sxsw iphone,Neutral,Apple
tweeting google coming circle platform today outside circle keep itsnot sxsw,Neutral,Google
yoyou stupid find sxsw mac link special price game mac,Neutral,
slate see much traffic mobile safari app ipad sxsw electricnews,Neutral,Apple
unloading apple store corner th congress austin temp store sxsw link,Neutral,Apple
great day sxsw jaloux new ipadlook school bus st day school link,Neutral,Apple
arrived sxsw issue resolved dying use iphone app cant login rt,Neutral,iPad or iPhone App
sxsw screenburn launch client new iphone game travellerarlaunch find link,Neutral,Apple
anyone sxsw want see demo piccraft ipad find,Neutral,Apple
sxsw could spend teaching theater alone look schedule link,Neutral,
youre sxsw meet u fado give yoyou wristband magically lead beer come say hi link,Neutral,
youre sxsw want ipad apple setting temporary store check link,Neutral,Apple
overheard sxsw ipad relaxing computer agreed ipad apple,Positive,iPad
overheard sxsw interactive arg hate iphone want blackberry back shocked,Negative,iPhone
youre sxsw meet author host android devs sat topm hilton room ab,Neutral,Google
sxsw apple come cool technology one ever heard go conference,Negative,Apple
sxsw apple set squarefoot temporary store sxsw sell new ipads test potential traffic link,Neutral,Apple
overheard sxsw google launch product people event,Neutral,Google
nerd bait sxsw apple set open popup shop core sxsw action link,Neutral,Apple
long line sxsw else apple store link,Neutral,Apple
last year sxswi everbody talking ipad year social medium driven revolution year better sxsw,Positive,iPad
long line apple pop store ipad great marketing apple sxsw,Positive,Apple
google people work people rather people work agileagency sxsw,Positive,Google
knackered home playing ipad updating iphone timeline smashed partytweets cannot make go bed sxsw,Positive,iPad
overheard mdw ill second halfway iphone battery already even boarded plane sxsw amateurhour,Negative,iPhone
technews sxsw apple school marketing expert link technews apple jobsco sxsw tech,Positive,Apple
first day sxsw fun final presentation google doodle googledoodle sxsw,Positive,Google
huge line apple store austin sxsw crowd tripping get new ipad,Positive,iPad
ur google aclyou partyyou sxsw,Positive,Google
queue apple popup store sxsw link,Neutral,Apple
posted dmi house intimate stranger stage got restaurant crowd sitting deal wif sxsw link,Neutral,
woman google talk sounded like chelsea handler laughing sxsw,Neutral,Google
laughed ipad spent week hauling macbook everywhere really want ipad shoulder rub sxsw,Positive,iPad
sxsw attendee need qr code reader iphone tweet u image yoyou badge first get optiscan free,Positive,iPad or iPhone App
hey sxsw attendeesyoyou hop line apple store four day til new ipadto come,Positive,iPad
anyone attending google aclyou party sxsw could yoyou plz picture thanks sxsw,Neutral,Google
march austin tx people line sxsw registration apple store,Neutral,Apple
landed austin spotted google place ad sxsw airport ultimate austin pocket guide like yelp itouru,Neutral,Google
took away lego pit replaced recharging station sxsw might check price iphone crap samsung android,Negative,Android
awesome meet standing apple queue sxsw yesterday day cute,Neutral,Apple
bad apple show late q process poopoos idea leaf early even im creative busy gamestorming sxsw,Negative,Apple
bahrain govt turned google earth result people learned govt turn back sxsw,Neutral,Google
trying balance power power need iphone v ipad sxsw g ipad suck quick might go airplane mode,Negative,iPad
racing ballroom see marissa mayer sxsw sxswi,Neutral,
iphone battery winning sxsw,Positive,iPhone
iphone battery cannot keep tweet thanks apple sxsw precommerce,Negative,iPhone
another google wave rt interrupt regularly scheduled sxsw geek programming wbig google news link,Neutral,Google
fun watch ipadmadness rt apple opening popup store austin sxsw link sxsw,Positive,Apple
control apple set open popup shop core sxsw action link via cc,Positive,Apple
yeah ill sure rt check link sxsw google,Neutral,Google
celebrate beauty web msft ie launch play new html game win ipadto link sxsw,Positive,iPad
texas amazing ive met many influential people work twitter foursquare microsoft even apple sxsw winning,Neutral,Apple
woke iphone finished recharging mean got enough sleep last night right sxsw,Neutral,Apple
quiet storm sxsw looking forward seeing google marissa mayer,Neutral,Google
company believing nfc google nexus nokia also carrier verifone even apple seems sxsw sxswnfc,Neutral,Apple
best thing ive heard weekend sxsw gave ipad money japan relief need ipad,Negative,iPad
ipad betterthey time improve sxsw,Positive,iPad
cu pacman google singularity sxsw noobs meetup,Neutral,Google
link go beyond earth hour year sharing positive action world download earthhour iphone app sxsw,Positive,iPad or iPhone App
far biggest sxsw mistake bringing iphoneipad charger,Neutral,Apple
google v bing bettersearch bing shot success w structured search potentially higher margin cpa model v google sxsw,Negative,Google
course bing result good google seo sxsw qagb,Positive,Google
black white ipad sxsw ipadto question,Neutral,Apple
hootsuite blog social medium dashboard hootsuite mobile sxsw update iphone blackberry android link,Neutral,Apple
hootsuite blog social medium dashboard hootsuite mobile sxsw update iphone blackberry android link,Neutral,Apple
hoot new blog post hootsuite mobile sxsw update iphone blackberry android link,Neutral,Apple
anyone bringing ipad v computer sxsw,Neutral,Apple
impulsive buy friend sxsw one selling st gen togb g ipad,Positive,iPad
buying new ipad geekdate apple sxsw ipadto,Positive,iPad
someone buying present rt apple opening popup store austin sxsw link,Positive,Apple
nice find rsq link sxsw ipad app,Positive,iPad or iPhone App
south southwest panel illustrated pic sometimes best link news ogilvy sxsw trending cyber iphone,Neutral,Apple
google calendar saturday night giant overlap sxsw party,Neutral,Google
yoyou google canadian tuxedo lose hour sxsw,Positive,Google
anyone make cooler rt launch groupon living socialtype reward sxsw link,Neutral,
exciting cant wait rt apple opening temporary store downtown austin sxsw ipad launch link,Positive,Apple
great certain meeting rt hello holler gram new ipad app link hollergram sxsw,Positive,iPad or iPhone App
dont miss charles chen androidchromeos access sxsw google booth exhibit hall pm sxsw,Positive,Google
reminder charles chen talking android chromeos access today pm google booth exhibit hall sxsw,Neutral,Google
tomorrow charles chen speaking android chromeos access google booth exhibit hall pm sxsw,Neutral,Google
group chat apps sxsw told dl two apps yet avail android point ill need phone apps,Neutral,Google
remember chime tweet nasatweetup experience topm pm central time sxsw session link,Neutral,
daily chord tuesday march hacker discover google music servicestory rollin link sxsw music news,Neutral,Google
daily chord tuesday march hacker discover google music servicestory rolling stone mo link sxsw,Neutral,Google
google circle austin sxsw link,Neutral,Google
google circle sxsw link ht maybe theyre reconsidering shape,Neutral,Google
google circle buzz corner rounded might find today link sxsw google,Neutral,Google
google circle rt launching product sxsw plenty else,Neutral,Google
austin classic missed sxsw mblogcom twitter iphone pm,Neutral,Apple
tool collaboration across boundary google webex dropbox whiteboarding basecamp joinme ipad sxsw evolvingworkplace,Neutral,Apple
trying collaborate sxsw event friend google calendar plancast,Neutral,Google
sxsw come hear speak min designing ipad interface new navigation schema ballrm uxdes,Neutral,Apple
ipad coming sxsw guess apple pretty desperate give attention,Negative,Apple
youre coming sxsw sure download sxsw go app schedule location event link,Positive,iPad or iPhone App
seriously considering leaving macbook pro home flying solo ipad week think make work sxsw,Positive,iPad
among coolgoofy thing ive spied sxsw today ipad case made look like etchnsketch grown game tug war,Neutral,Apple
wish could party sxsw instead homework tomorrow,Neutral,
could find sxsw probably fiting ipad,Neutral,Apple
check coyne pr update sxsw link via,Neutral,
crazy look around sxsw realize last year one ipad sxsw,Neutral,Apple
crazy big crowd sxsw apple store sxsw link,Neutral,Apple
read articlegoogle say rumor launch major new social network called circleslink sxsw,Neutral,Google
sxsw dl iphone come uj booth acc hall snap pic send em u fightthepaddle link,Neutral,Apple
shipment daily follow appleatxdt update rt popup apple store seems popup ipadtos sxsw,Negative,Apple
day im tired hold ipad week death happy death sxsw,Neutral,Apple
beautiful day austin come grab slice two yoyou check google yoyou get deal sxswi sxsw,Neutral,Google
four day ipad sxsw weekend battlela,Positive,iPad
