clean_text,sentiment,brand_target,Brand_Parent,Word_Count,Is_Mobile,Crisis_Priority
hp open mobile park content incubator sxsw link apple construct popup store link,Neutral,Apple,Apple,13,1,Normal
kawasaki c lewis level reasoning apple continued existence evidence existence god bawling sxsw,Positive,Apple,Apple,13,1,Normal
kawasaki pagemaker saved apple oh day sxsw jwtatl enchantment,Neutral,Apple,Apple,9,1,Normal
kawasaki pagemaker saved apple oh day sxsw jwtatl enchantment via,Positive,Apple,Apple,10,1,Normal
spark android teamandroid award sxsw read link,Positive,Google,Google,7,1,Normal
unboxing apple sxsw apple store sxsw link,Neutral,Apple,Apple,7,1,Normal
sxsw apple ipad great thought w japan apac region dealing w earthquake tsunami trauma sxswi,Positive,iPad,Apple,15,1,Normal
sxsw apple school marketing expert sxsw cnet blog link,Neutral,Apple,Apple,9,1,Normal
sxsw apple school marketing expert link,Positive,Apple,Apple,6,1,Normal
sxsw apple school marketing expert link,Neutral,Apple,Apple,6,1,Normal
temporary apple store def tent powerhouse gym sxsw link,Positive,Apple,Apple,9,1,Normal
temporary apple store th congress sxsw along happy hipster,Positive,Apple,Apple,9,1,Normal
apple win sxsw link opening temporary store downtown austin support ipadto launch good,Positive,Apple,Apple,13,1,Normal
ipad austin trending today fun sxsw yoyou nerdy nerd,Positive,iPad,Apple,9,1,Normal
headed austin sxsw check map newbie link enjoy,Neutral,,Other,8,0,Normal
funny austin trending sxsw matter minute point least according twitter iphone,Neutral,Apple,Apple,11,1,Normal
christian ipad iphone devs want talk sxsw maybe wk together cool app,Positive,iPad or iPhone App,Apple,12,1,Normal
sxsw ux ipad uxdes remember ultimately aware audience app targeted towards unexpected experience good,Neutral,Apple,Apple,14,1,Normal
apple ipadto taken sxsw austin storm link excited part mobile,Positive,iPad,Apple,10,1,Normal
haz ipadto ifrom sxsw great link,Positive,iPad,Apple,6,1,Normal
stack ipadto waiting bought sxsw got mine hassle apple handled perfectly link,Positive,iPad,Apple,12,1,Normal
google mobile future elusive power link via eurorscg sxsw sxswi,Neutral,Google,Google,10,1,Normal
notatsxsw sxsw link free download meet nearby pep,Neutral,,Other,8,0,Normal
smallbiz need review play google placeswe got app thatlink seo sxsw,Positive,Google,Google,11,1,Normal
smallbiz need review play google placeswe got app thatlink seo sxsw,Neutral,Google,Google,11,1,Normal
samsung sony follow apple hp lead link austin atx sxsw,Neutral,Apple,Apple,10,1,Normal
samsung sony follow apple hp lead link austin atx sxsw via rg,Neutral,Apple,Apple,12,1,Normal
take sxsw rt major south korean director get make movie entirely iphone link,Positive,iPhone,Apple,13,1,Normal
beautiful sxsw apple store sxsw pic link,Positive,Apple,Apple,7,1,Normal
q sxsw sxswi prep amazing pre push locally focus location based google owns region billboard prtochat,Neutral,Google,Google,16,0,Normal
sxsw account need follow apps download iphone,Neutral,Apple,Apple,7,1,Normal
headed sxsw want sharegather contact info link turn iphone business card broadcaster,Neutral,Apple,Apple,12,1,Normal
headed sxsw want sharegather contact info link turn iphone link,Neutral,Apple,Apple,10,1,Normal
btw sxsw apple store sold g model vzw att,Neutral,Apple,Apple,9,1,Normal
must sxsw app rt lovely review forbes sxsw ipad app holler gram link,Positive,iPad or iPhone App,Apple,13,1,Normal
temporary sxsw apple store apple sneaky usual link,Positive,Apple,Apple,8,1,Normal
anyone sxsw popup apple store austin gotta hopping place today,Neutral,Apple,Apple,10,1,Normal
sxsw beta testing interactive book ipad app moonbot studio louisiana cool app,Positive,iPad or iPhone App,Apple,12,1,Normal
apple sxsw day one seeing ton ipadto,Positive,iPad,Apple,7,1,Normal
fastball sxsw giving away two new ipadto wifi tog black apple cover tweet fo info sxswi attsxsw tonight bolt house,Neutral,Apple,Apple,20,1,Normal
anyone sxsw chance check popup apple store wondering worth trek convention center,Neutral,Apple,Apple,12,1,Normal
sxsw ipad store sold everything except gig wifi white yoyou manage get,Positive,iPad,Apple,12,1,Normal
sxsw ipad store sold everything except gig wifi white also known white jean configuration,Positive,iPad,Apple,14,1,Normal
offered sxsw ipad promo ninjafinder user fan sxsw suck sxsw,Positive,iPad,Apple,10,1,Normal
sxsw austin conference google search interactive music film,Neutral,Google,Google,8,0,Normal
anyone sxsw know apple selling ipad,Neutral,Apple,Apple,6,1,Normal
anyone sxsw know apple store new shipment ipads yet,Neutral,Apple,Apple,9,1,Normal
marc ecko sxsw launch iphone app autodial political change link edreform edtech eduvc fightthepaddle,Neutral,Apple,Apple,14,1,Normal
poursite sxsw learning lifechanging impact ipad real people actual life bravo,Positive,iPad,Apple,11,1,Normal
sxsw lonelyplanet austin guide iphone free limited time link lp travel,Positive,Apple,Apple,11,1,Normal
free sxsw mp downloads time itunes link,Neutral,Apple,Apple,7,0,Normal
anyone sxsw heading aclyou event seen owt google circle,Neutral,Google,Google,9,0,Normal
sxsw prompt memory go google map describe childhood walk,Neutral,Google,Google,9,0,Normal
apple sxsw store still ipad short line,Positive,iPad,Apple,7,1,Normal
essential sxsw tool link,Neutral,,Other,4,0,Normal
left sxsw tradeshow demo google theatre ok get see presenter using,Positive,Other Google product or service,Google,11,0,Normal
following sxsw tweet google realtime four platform tweet deck listening panel realizing im spoken one today,Neutral,Google,Google,16,0,Normal
anyone sxsw want ipad im line pick one someone willing pay grab,Neutral,Apple,Apple,12,1,Normal
anyone sxsw want make quick hundred dollar new ipadto ad hoc apple store get hundred plus cost,Positive,iPad,Apple,17,1,Normal
solving sxswinduced iphoneintoilet crisis apple store crisis,Neutral,Apple,Apple,7,1,Normal
monday sxsw barry diller new york time congress lunch w hotel party google party six dirty martini monday,Positive,Google,Google,18,0,Normal
attending sxsw austin guide free download itunes link lp,Neutral,Apple,Apple,9,0,Normal
seriously sxsw yoyou testing mobile apps constant ipad crash causing lost schedule sync wp,Negative,iPad or iPhone App,Apple,14,1,High (Alert)
ready sxsw iphone apps make ur blogging easier link sxsw sxswi,Positive,iPad or iPhone App,Apple,11,1,Normal
ipadto sxswa conflagration doofusness link,Negative,iPad,Apple,5,1,Medium (Monitor)
attention sxswers link rumored popup temporary apple store sxsw ipad launch need,Positive,Apple,Apple,12,1,Normal
went sxswi lousy ipad sxsw link,Positive,iPad,Apple,6,1,Normal
hey sxsw sxswi folk yoyou want learn security come bsidesaustin link,Neutral,,Other,11,0,Normal
attending sxswi work iphone ipad game development looking hire austinbased io developer im man let talk sxsw,Neutral,Apple,Apple,17,1,Normal
winning picture android google sxsw link,Positive,Android,Google,6,1,Normal
gsdm google rt best party hit tonight sxsw,Neutral,Google,Google,8,0,Normal
gsdm google industry party sxsw great meet yoyou link,Neutral,Google,Google,9,0,Normal
yoyou spent come sxsw youve already used ipad wait couple city block ipadto sxsw link,Negative,iPad,Apple,15,1,Medium (Monitor)
sxsw day marissa mayer google connect digital physical world mobile link,Neutral,Google,Google,11,1,Normal
behind email give line iphone composed reply sxsw protip,Positive,iPhone,Apple,9,1,Normal
like pm night line around block popup apple store selling ipadtos sxsw,Positive,iPad,Apple,12,1,Normal
free song sxsw year alone link,Neutral,,Other,6,0,Normal
million mobile user google map mobile sxsw,Neutral,Google,Google,7,1,Normal
currently people line pop apple store sxsw,Neutral,Apple,Apple,7,1,Normal
ipad available sxsw gb wifionly model plus optional leather smart cover,Neutral,Apple,Apple,11,1,Normal
love entertain youplease dont grateful link edchat musedchat sxsw sxswi classical newtwitter,Neutral,,Other,12,0,Normal
less hour announce detail ipad giveaway sxsw sxswi,Neutral,Apple,Apple,8,1,Normal
im ipad tos seen wild people say fast still pic terrible sxsw,Negative,iPad,Apple,12,1,Medium (Monitor)
ipad queue sxsw course,Neutral,Apple,Apple,4,1,Normal
ipad take sxsw video link,Positive,iPad,Apple,5,1,Normal
many ipad snapping away keynote slide sxsw,Positive,iPad,Apple,7,1,Normal
apple tom user credit card syncd itunes one click purchase winning sxsw,Neutral,Apple,Apple,12,1,Normal
tond cocktail texas snowflake google cnngrill sxsw,Neutral,Google,Google,7,0,Normal
new post iphone apps well using south southwest interactive link sxsw sxswi,Positive,iPad or iPhone App,Apple,12,1,Normal
new post iphone apps well using south southwest interactive sxsw sxswi link,Neutral,Apple,Apple,12,1,Normal
sweet new google map demo going ballroom sxsw,Positive,Other Google product or service,Google,8,0,Normal
million mile per day driving google map navigation sxsw,Positive,Other Google product or service,Google,9,0,Normal
rt pm ipadto line apple store longer wider people one hour sxsw,Neutral,Apple,Apple,12,1,Normal
smart packing extra rt way sunny austin sxsw extra iphone stow case,Neutral,Apple,Apple,12,1,Normal
wonder sqwill attempt block gowalla crosscheckins way facebook blocked google contact connection sxsw lbswars,Neutral,Google,Google,14,0,Normal
sxsw day apple store still lineand growing link,Positive,Apple,Apple,8,1,Normal
check step bulletproof ux strategy sxsw link sxsw rhjrux link,Neutral,,Other,10,0,Normal
wandering th street girl stopped ceviche mojitos apple juice ice cream sxsw,Neutral,Apple,Apple,12,1,Normal
youre band sxsw want share track audience stage use frostwire android wifi available,Positive,Android App,Google,13,1,Normal
weve got busy week ahead new book google apps available amazon attending sxsw,Neutral,Google,Google,13,1,Normal
believe went aussie sxsw rt ipad sold went new buyer report link,Neutral,Apple,Apple,12,1,Normal
google spreadsheet party sxsw year oo link plan going sxsw party,Neutral,Google,Google,11,0,Normal
guy line apple popup store sixth street austin im guy told sxsw,Neutral,Apple,Apple,12,1,Normal
iphone yoyou need caruse zimride etc share ride sxsw shareable,Positive,iPad or iPhone App,Apple,10,1,Normal
ive seen lot tablet every single one ipad sxsw,Neutral,Apple,Apple,9,1,Normal
receiving lot message telling im sexy response post looking meet fellow christian iphone devs sxsw,Neutral,Apple,Apple,15,1,Normal
picked mophie battery case iphone prep sxsw lugging around laptop using phone huge win last year,Positive,iPhone,Apple,16,1,Normal
thats news p rt google launch major new social network called circle possibly today link sxsw,Neutral,Google,Google,16,0,Normal
took piss trade show ipad one hand iphone pissing kiiiiiilling right sxsw,Neutral,Apple,Apple,12,1,Normal
rumor monger good read google circle preview sxsw link via socbiz fb,Positive,Other Google product or service,Google,12,0,Normal
hobo shotgun iphone game link sxsw,Neutral,Apple,Apple,6,1,Normal
hobo shotgun video game coming ipadiphone user yes please link sxsw,Positive,iPad or iPhone App,Apple,11,1,Normal
build store less hour one biggest launch company history got apple sxsw ipadto,Positive,Apple,Apple,13,1,Normal
took survey iphone starbucks line got free starbucks gift card instant research instant gratification sxsw gsdm,Neutral,Apple,Apple,16,1,Normal
apple temporary retail store austin ipad release today open pm sxsw sxswi ipadto,Neutral,Apple,Apple,13,1,Normal
read groupme sxswsounds like incredible app available android phone yet,Positive,iPad or iPhone App,Apple,10,1,Normal
wondering circle google reveal new social network sxsw link,Neutral,Google,Google,9,0,Normal
google search local marissa mayer sxsw,Neutral,Google,Google,6,0,Normal
wondering street closure sxsw made google map show link sxsw austin,Neutral,Google,Google,11,0,Normal
google another go social google circle sxsw google,Neutral,Google,Google,8,0,Normal
question inside ipad fire way sxsw,Neutral,Apple,Apple,6,1,Normal
paraormal activity sanctuary iphone game sketching ar experience interactivity magic lense eduar sxsw,Neutral,Apple,Apple,13,1,Normal
apple iie ad si swimsuit issue garage sale sxsw link,Neutral,Apple,Apple,10,1,Normal
flipboard add instagram photo social search apps link apple socialsearch sxsw,Neutral,Apple,Apple,11,1,Normal
spent aftrnoon frozen lake photographing brother scott team catch sxsw th weeknd link,Neutral,,Other,13,0,Normal
iphone alarm botch timechange many sxswers freak late flight missed panel behind bloody mary,Negative,iPhone,Apple,14,1,Medium (Monitor)
shout lady holding ipad free sxsw show take photo sipping free beer cc,Positive,iPad,Apple,13,1,Normal
dj hoodie allen due respect yoyou probably make way back google sxsw,Neutral,Google,Google,12,0,Normal
meant also wish sxsw dyac stupid iphone,Negative,iPhone,Apple,7,1,Medium (Monitor)
audioboo american dream bust link ipad sxsw bum begger u socialart documentally,Neutral,Apple,Apple,12,1,Normal
skifta appbased medium shifting service turn android phone sxsw mashable sxswi link,Neutral,Google,Google,12,1,Normal
rumor apple store opening sxsw th congress sign point yes link,Positive,Apple,Apple,11,1,Normal
apple security guy lock store sxsw link,Neutral,Apple,Apple,7,1,Normal
apple security guy lock store sxsw realtime sxsw link curated,Neutral,Apple,Apple,10,1,Normal
got ipad sxsw link cc,Neutral,Apple,Apple,5,1,Normal
picked ipad sxsw pop apple store minute wait,Positive,iPad,Apple,8,1,Normal
brilliant enlightening game mechanic presentation google sxsw,Positive,Google,Google,7,0,Normal
gsdm googlesitting tree link sxsw gsdm,Neutral,Google,Google,6,0,Normal
pic yoyou winning ipad unsix sxsw cc link cont link,Neutral,Apple,Apple,10,1,Normal
iphone thirsty sxsw chevy volt lounge w others link,Neutral,Apple,Apple,9,1,Normal
iphone thirsty sxsw chevy volt lounge w others link link,Neutral,Apple,Apple,10,1,Normal
came left sxsw iphone playing song chosen random skream listening record wall appropriate,Neutral,Apple,Apple,13,1,Normal
marketing sale genius link apple sxsw,Positive,Apple,Apple,6,1,Normal
arduino android flaming skull link refrigerator speaks salon k pm sxsw smartthings,Neutral,Google,Google,12,1,Normal
reminder android chrome tt talk pm today link sxsw,Neutral,Google,Google,9,1,Normal
ipad v android v world panel sxsw today pm link,Neutral,Apple,Apple,10,1,Normal
backupify announces cloudsight search first searchable archive solution social medium google apps sxsw sxswi link,Neutral,Google,Google,15,1,Normal
google announcing social network circle via sxsw tweet interesting myopia cause buzz joke interesting,Neutral,Google,Google,14,0,Normal
need sxsw ipad iphone laptop dictaphone vidcamera wow love meet real cerebellum charged people,Positive,iPhone,Apple,14,1,Normal
see anything google circle sxsw,Neutral,Google,Google,5,0,Normal
sxsw app iphone ridiculous personal planner next day,Positive,iPad or iPhone App,Apple,8,1,Normal
sxsw app android huge prop get link,Neutral,Google,Google,7,1,Normal
found app kyping iphone geolocation releasing background need patch batterykiller sxsw,Negative,iPad or iPhone App,Apple,11,1,Medium (Monitor)
sxsw app iphone live rsvp event phone check sundayswaggereventbritecom scoremore,Positive,iPad or iPhone App,Apple,10,1,Normal
iphone app screen sxsw missing link,Neutral,Apple,Apple,6,1,Normal
love app awesome rt must see android app sxsw bizzy link,Positive,Android App,Google,11,1,Normal
sxsw apple popup store nut still packed link,Neutral,Apple,Apple,8,1,Normal
say apple sxsw popup store austin link,Neutral,Apple,Apple,7,1,Normal
breaking apple announces partnership wporn industry new ipadto video chat app called ofacetime sxsw,Neutral,Apple,Apple,14,1,Normal
course apple built temp store austin texas understand concept corralling cattle sxsw pickmeupanipadto,Negative,Apple,Apple,13,1,Medium (Monitor)
love apple let something like retail store near sxsw keep away opening popup store link,Positive,Apple,Apple,15,1,Normal
surprise apple opened popup store austin nerd town sxsw get new link cnet,Positive,Apple,Apple,13,1,Normal
surprise apple opened popup store austin nerd town sxsw get new ipads link cnet,Positive,iPad,Apple,14,1,Normal
surprise apple opened popup store austin nerd town sxsw get new ipads link,Neutral,Apple,Apple,13,1,Normal
surprise apple opened popup store austin nerd town sxsw get new ipads link,Positive,Apple,Apple,13,1,Normal
technews apple head sxsw set temporary store austin link technews apple ipadto rancewilemon sxsw tech,Neutral,Apple,Apple,15,1,Normal
apple great example retail store layed future register checkout line sxsw,Positive,Apple,Apple,11,1,Normal
apple opening temporary store downtown austin sxsw ipad launch link gswsxsw,Positive,Apple,Apple,11,1,Normal
apple opening temporary store downtown austin sxsw ipad launch oh yay traffic,Negative,Apple,Apple,12,1,Medium (Monitor)
technews apple opening popup store austin sxsw link technews americanstatesman apple appleapple sxsw tech,Neutral,Apple,Apple,14,1,Normal
technews apple opening popup store austin sxsw geekfest apple link technews apple brianlam ipadto sxsw tech,Neutral,Apple,Apple,16,1,Normal
sxsw apple popup store open noon fresh shipment ipad im pretty sure im going get one finger crossed,Positive,iPad,Apple,18,1,Normal
technews apple save sxsw set open popup store link technews apple sxsw tech,Positive,Apple,Apple,13,1,Normal
sxsw apple school marketing expert link,Neutral,Apple,Apple,6,1,Normal
sxsw apple school marketing expert link,Positive,Apple,Apple,6,1,Normal
sxsw apple school marketing expert link via,Positive,Apple,Apple,7,1,Normal
sxsw apple school marketing expert link via true love loathe one marketing like,Positive,Apple,Apple,13,1,Normal
sxsw apple school marketing expert cnet link,Positive,Apple,Apple,7,1,Normal
sxsw apple school marketing expert cnet blog link austin atx retail,Positive,Apple,Apple,11,1,Normal
apple store downtown austin open til midnight sxsw still time,Positive,Apple,Apple,10,1,Normal
apple store downtown austin open til midnight sxsw ipadto left stock,Neutral,Apple,Apple,11,1,Normal
apple store congress link sxsw austin,Neutral,Apple,Apple,6,1,Normal
apple store mall sunday x crowded line fake need fucking dongle genius let sxsw,Negative,Apple,Apple,14,1,Medium (Monitor)
towks apple store th austin street opened sxsw,Neutral,Apple,Apple,8,1,Normal
special apple store opening th congress sxsw ipad launch apple ipadto sxsw fb,Neutral,Apple,Apple,13,1,Normal
makeshift apple store th congress youre kidding amazing sxsw apple,Positive,Apple,Apple,10,1,Normal
temporary apple store sxsw huge line link,Neutral,Apple,Apple,7,1,Normal
temporary apple store sxsw really coolas ipad apple sxsw fanboy,Positive,iPad,Apple,10,1,Normal
temporary apple store set sxsw shit temptation going control,Positive,Apple,Apple,9,1,Normal
temporary apple store sxsw line go around block link,Neutral,Apple,Apple,9,1,Normal
temporary apple store open th congress tomorrow ipadto sxsw,Neutral,Apple,Apple,9,1,Normal
temporary apple store open pm th congress line already growing ipad viewio link via sxsw,Positive,Apple,Apple,15,1,Normal
temporary apple store block office cannot wait see line tomorrow photo come sxsw ipadto,Positive,Apple,Apple,14,1,Normal
sxsw apple store open noon day close run ipadtos buy stock year ago,Neutral,Apple,Apple,13,1,Normal
base camp apple sxsw link,Neutral,Apple,Apple,5,1,Normal
ipad news apps iso last year sxsw link,Negative,iPad or iPhone App,Apple,8,1,Medium (Monitor)
iphone apps youll probably need use sxsw link,Positive,iPad or iPhone App,Apple,8,1,Normal
million mobile google map user sxsw,Positive,Other Google product or service,Google,6,1,Normal
line already forming apple popup store austin people see festival link sxsw,Neutral,Apple,Apple,12,1,Normal
android rt new mobile apps ill using atsxsw link,Positive,Android App,Google,9,1,Normal
